description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"Elegant white top crafted from cotton fabric featuring a collared, short sleeve, knee length length and embroidery detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Cotton,Collared,Short Sleeve,Knee Length,Embroidery,White,Top
"Elegant black shirt crafted from cotton fabric featuring a round neck, sleeveless, knee length length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Cotton,Round Neck,Sleeveless,Knee Length,Lace,Black,Shirt
"Elegant red jumpsuit crafted from linen fabric featuring a keyhole neck, full sleeve, midi length and none detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Linen,Keyhole Neck,Full Sleeve,Midi,None,Red,Jumpsuit
"Elegant white jumpsuit crafted from silk fabric featuring a boat neck, short sleeve, midi length and sequins detailing. Designed in a empire silhouette for a stylish look.",Empire,Silk,Boat Neck,Short Sleeve,Midi,Sequins,White,Jumpsuit
"Elegant purple top crafted from georgette fabric featuring a sweetheart neck, full sleeve, midi length and none detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Georgette,Sweetheart Neck,Full Sleeve,Midi,None,Purple,Top
"Elegant white dress crafted from polyester fabric featuring a collared, puff sleeve, midi length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Polyester,Collared,Puff Sleeve,Midi,Lace,White,Dress
"Elegant green co-ord set crafted from silk fabric featuring a v-neck, short sleeve, mini length and ruffles detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Silk,V-Neck,Short Sleeve,Mini,Ruffles,Green,Co-ord Set
"Elegant white kurti crafted from rayon fabric featuring a sweetheart neck, half sleeve, knee length length and beads detailing. Designed in a empire silhouette for a stylish look.",Empire,Rayon,Sweetheart Neck,Half Sleeve,Knee Length,Beads,White,Kurti
"Elegant pink dress crafted from rayon fabric featuring a keyhole neck, three-quarter sleeve, midi length and lace detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Rayon,Keyhole Neck,Three-Quarter Sleeve,Midi,Lace,Pink,Dress
"Elegant blue tunic crafted from cotton fabric featuring a sweetheart neck, three-quarter sleeve, midi length and sequins detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Cotton,Sweetheart Neck,Three-Quarter Sleeve,Midi,Sequins,Blue,Tunic
"Elegant green kurti crafted from denim fabric featuring a halter neck, puff sleeve, maxi length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Denim,Halter Neck,Puff Sleeve,Maxi,Embroidery,Green,Kurti
"Elegant blue kurti crafted from silk fabric featuring a halter neck, full sleeve, maxi length and printed detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Silk,Halter Neck,Full Sleeve,Maxi,Printed,Blue,Kurti
"Elegant yellow top crafted from polyester fabric featuring a round neck, sleeveless, knee length length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Polyester,Round Neck,Sleeveless,Knee Length,Embroidery,Yellow,Top
"Elegant white gown crafted from chiffon fabric featuring a keyhole neck, full sleeve, midi length and none detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Chiffon,Keyhole Neck,Full Sleeve,Midi,None,White,Gown
"Elegant black gown crafted from polyester fabric featuring a collared, three-quarter sleeve, knee length length and applique detailing. Designed in a empire silhouette for a stylish look.",Empire,Polyester,Collared,Three-Quarter Sleeve,Knee Length,Applique,Black,Gown
"Elegant pink kurti crafted from polyester fabric featuring a collared, puff sleeve, knee length length and embroidery detailing. Designed in a straight silhouette for a stylish look.",Straight,Polyester,Collared,Puff Sleeve,Knee Length,Embroidery,Pink,Kurti
"Elegant green shirt crafted from georgette fabric featuring a keyhole neck, sleeveless, mini length and printed detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Georgette,Keyhole Neck,Sleeveless,Mini,Printed,Green,Shirt
"Elegant red kurti crafted from linen fabric featuring a v-neck, sleeveless, maxi length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Linen,V-Neck,Sleeveless,Maxi,Sequins,Red,Kurti
"Elegant blue gown crafted from rayon fabric featuring a collared, full sleeve, maxi length and lace detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Collared,Full Sleeve,Maxi,Lace,Blue,Gown
"Elegant blue shirt crafted from georgette fabric featuring a keyhole neck, full sleeve, maxi length and sequins detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Georgette,Keyhole Neck,Full Sleeve,Maxi,Sequins,Blue,Shirt
"Elegant black top crafted from georgette fabric featuring a round neck, full sleeve, knee length length and lace detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Georgette,Round Neck,Full Sleeve,Knee Length,Lace,Black,Top
"Elegant blue gown crafted from linen fabric featuring a v-neck, sleeveless, midi length and sequins detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Linen,V-Neck,Sleeveless,Midi,Sequins,Blue,Gown
"Elegant purple jumpsuit crafted from linen fabric featuring a boat neck, puff sleeve, maxi length and lace detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Linen,Boat Neck,Puff Sleeve,Maxi,Lace,Purple,Jumpsuit
"Elegant yellow jumpsuit crafted from polyester fabric featuring a v-neck, puff sleeve, maxi length and printed detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Polyester,V-Neck,Puff Sleeve,Maxi,Printed,Yellow,Jumpsuit
"Elegant white shirt crafted from cotton fabric featuring a v-neck, sleeveless, maxi length and printed detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Cotton,V-Neck,Sleeveless,Maxi,Printed,White,Shirt
"Elegant green co-ord set crafted from linen fabric featuring a keyhole neck, short sleeve, maxi length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Linen,Keyhole Neck,Short Sleeve,Maxi,Embroidery,Green,Co-ord Set
"Elegant black top crafted from polyester fabric featuring a keyhole neck, full sleeve, mini length and none detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Polyester,Keyhole Neck,Full Sleeve,Mini,None,Black,Top
"Elegant yellow dress crafted from rayon fabric featuring a halter neck, three-quarter sleeve, maxi length and lace detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Rayon,Halter Neck,Three-Quarter Sleeve,Maxi,Lace,Yellow,Dress
"Elegant green jumpsuit crafted from chiffon fabric featuring a round neck, three-quarter sleeve, midi length and applique detailing. Designed in a straight silhouette for a stylish look.",Straight,Chiffon,Round Neck,Three-Quarter Sleeve,Midi,Applique,Green,Jumpsuit
"Elegant black tunic crafted from rayon fabric featuring a square neck, half sleeve, knee length length and none detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Rayon,Square Neck,Half Sleeve,Knee Length,None,Black,Tunic
"Elegant white kurti crafted from cotton fabric featuring a keyhole neck, full sleeve, knee length length and none detailing. Designed in a a-line silhouette for a stylish look.",A-Line,Cotton,Keyhole Neck,Full Sleeve,Knee Length,None,White,Kurti
"Elegant black top crafted from polyester fabric featuring a square neck, three-quarter sleeve, mini length and lace detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Polyester,Square Neck,Three-Quarter Sleeve,Mini,Lace,Black,Top
"Elegant green jumpsuit crafted from georgette fabric featuring a collared, short sleeve, midi length and lace detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Georgette,Collared,Short Sleeve,Midi,Lace,Green,Jumpsuit
"Elegant purple top crafted from silk fabric featuring a keyhole neck, half sleeve, mini length and none detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,Keyhole Neck,Half Sleeve,Mini,None,Purple,Top
"Elegant blue tunic crafted from linen fabric featuring a collared, short sleeve, midi length and sequins detailing. Designed in a fit and flare silhouette for a stylish look.",Fit and Flare,Linen,Collared,Short Sleeve,Midi,Sequins,Blue,Tunic
"Elegant green top crafted from rayon fabric featuring a keyhole neck, full sleeve, midi length and none detailing. Designed in a shift silhouette for a stylish look.",Shift,Rayon,Keyhole Neck,Full Sleeve,Midi,None,Green,Top
"Elegant green shirt crafted from silk fabric featuring a v-neck, sleeveless, knee length length and beads detailing. Designed in a straight silhouette for a stylish look.",Straight,Silk,V-Neck,Sleeveless,Knee Length,Beads,Green,Shirt
"Elegant black top crafted from linen fabric featuring a collared, full sleeve, maxi length and beads detailing. Designed in a empire silhouette for a stylish look.",Empire,Linen,Collared,Full Sleeve,Maxi,Beads,Black,Top
"Elegant green kurti crafted from silk fabric featuring a round neck, sleeveless, midi length and embroidery detailing. Designed in a peplum silhouette for a stylish look.",Peplum,Silk,Round Neck,Sleeveless,Midi,Embroidery,Green,Kurti
"Elegant black tunic crafted from chiffon fabric featuring a round neck, sleeveless, mini length and embroidery detailing. Designed in a wrap silhouette for a stylish look.",Wrap,Chiffon,Round Neck,Sleeveless,Mini,Embroidery,Black,Tunic
"Elegant black tunic crafted from chiffon fabric featuring a boat neck, sleeveless, midi length and printed detailing. Designed in a straight silhouette for a stylish look.",Straight,Chiffon,Boat Neck,Sleeveless,Midi,Printed,Black,Tunic
"Elegant blue kurti crafted from linen fabric featuring a v-neck, half sleeve, maxi length and embroidery detailing. Designed in a bodycon silhouette for a stylish look.",Bodycon,Linen,V-Neck,Half Sleeve,Maxi,Embroidery,Blue,Kurti
"Elegant blue gown crafted from chiffon fabric featuring a round neck, short sleeve, midi length and ruffles detailing. Designed in a straight silhouette for a stylish look.",Straight,Chiffon,Round Neck,Short Sleeve,Midi,Ruffles,Blue,Gown
